CLIENTNUM,Attrition_Flag,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Dependent_count,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Customer_Age,Months_on_book,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
768805383,0,1,3,1,2,0,3,5,1,3,0,2,1,7,4,5,0,3,9,2
818770008,0,0,2,2,4,0,5,6,1,2,1,2,6,7,3,5,2,0,9,2
713982108,0,1,2,1,3,0,3,4,1,0,2,1,4,0,2,5,2,0,9,0
769911858,0,0,3,3,4,0,4,3,4,1,0,1,4,6,2,5,0,0,9,6
709106358,0,1,5,1,2,0,3,5,1,0,0,0,4,0,2,5,0,0,9,0
713061558,0,1,2,1,1,0,2,3,1,2,0,1,4,1,2,5,0,0,7,2
810347208,0,1,6,1,0,1,4,6,1,3,2,2,5,5,1,5,2,0,6,2
818906208,0,1,3,3,2,3,0,2,2,2,0,1,3,2,1,5,2,0,6,1
710930508,0,1,5,2,2,0,3,5,2,0,0,1,1,6,4,5,2,0,9,2
719661558,0,1,2,2,3,0,2,6,3,3,0,1,7,3,4,5,2,0,8,2
708790833,0,1,5,3,0,0,5,5,3,2,0,1,6,3,2,4,0,3,6,2
710821833,0,1,6,1,1,0,1,6,2,3,3,3,6,3,3,5,2,0,9,2
710599683,0,1,0,2,3,0,1,3,6,0,3,1,7,0,4,5,2,0,9,0
816082233,0,1,2,3,2,0,3,5,1,3,0,1,6,3,3,5,2,0,9,2
712396908,0,0,2,1,4,0,2,5,2,2,3,3,2,7,2,5,2,0,4,2
714885258,0,1,6,3,3,0,4,5,1,2,0,1,4,7,2,5,2,0,9,2
709967358,0,1,4,2,3,0,4,6,2,3,0,1,3,5,1,5,2,0,8,2
753327333,0,1,6,1,3,0,3,4,4,1,0,1,1,1,4,3,0,0,9,2
806160108,0,1,3,1,1,0,1,2,2,3,3,3,4,6,2,5,2,0,9,6
709327383,0,0,2,1,5,0,2,6,1,2,0,1,1,1,4,4,0,0,8,2
806165208,0,1,1,0,2,0,1,5,2,0,0,2,1,4,4,4,0,0,8,2
708508758,1,0,2,1,4,0,0,2,3,3,3,3,0,0,2,4,0,0,4,0
784725333,0,1,3,1,1,0,3,4,2,1,0,1,4,7,2,5,0,0,9,2
811604133,0,0,6,2,4,0,4,3,3,2,0,1,2,3,2,2,0,0,0,4
789124683,0,1,6,1,3,0,2,4,2,3,3,2,1,0,4,5,0,0,6,0
771071958,0,0,2,2,4,0,3,6,1,2,0,1,6,3,2,4,0,0,7,2
720466383,0,1,3,3,1,0,1,4,1,2,3,2,1,2,4,4,0,0,9,2
804424383,0,1,6,1,2,0,1,3,3,2,3,3,7,8,4,4,2,2,8,2
718813833,0,0,5,2,5,0,3,5,2,2,0,1,7,0,4,1,0,0,9,0
806624208,0,1,3,1,1,0,4,6,0,0,0,2,4,2,2,4,0,2,8,2
778348233,0,1,6,1,3,0,3,3,2,3,2,1,2,4,2,4,0,0,9,5
712991808,0,1,5,1,2,0,2,2,5,1,2,3,2,3,2,5,2,0,9,5
709029408,0,1,2,1,2,0,4,4,1,2,0,1,6,6,2,5,2,0,9,2
788658483,0,0,0,1,4,0,2,5,2,3,2,2,2,3,2,5,2,0,8,4
787937058,0,1,2,1,3,0,0,6,2,2,3,3,1,3,4,1,2,0,6,2
715318008,0,0,0,2,4,0,1,4,2,1,3,1,4,4,2,1,2,3,1,4
713962233,0,0,2,1,4,0,3,6,2,3,3,1,4,5,2,5,2,0,9,6
785432733,0,0,3,1,4,1,4,2,3,3,0,1,1,0,4,4,0,0,9,0
715190283,0,0,2,3,1,0,1,3,3,2,3,3,4,7,2,5,2,0,3,2
708300483,1,0,1,1,5,0,0,5,4,3,3,3,6,7,3,4,0,0,0,2
