Attrition_Flag,Gender,Dependent_count,Marital_Status,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,bin_Credit_Limit,bin_Total_Revolving_Bal,bin_Total_Trans_Ct,bin_Total_Ct_Chng_Q4_Q1,bin_Avg_Utilization_Ratio,Education_Level_0,Education_Level_1,Education_Level_2,Education_Level_3,Education_Level_4,Education_Level_5,Education_Level_6,Income_Category_0,Income_Category_1,Income_Category_2,Income_Category_3,Income_Category_4,Income_Category_5,Card_Category_0,Card_Category_1,Card_Category_2,Card_Category_3
0,1,3,1,5,1,3,12691.0,777,42,1.625,0.061,1,7,3,9,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,5,2,6,1,2,8256.0,864,33,3.714,0.105,6,7,0,9,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1,3,1,4,1,0,3418.0,0,20,2.333,0.0,4,0,0,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,4,3,3,4,1,3313.0,2517,20,2.333,0.76,4,6,0,9,6,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1,3,1,5,1,0,4716.0,0,28,2.5,0.0,4,0,0,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,1,2,1,3,1,2,4010.0,1247,24,0.846,0.311,4,1,0,7,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,4,1,6,1,3,34516.0,2264,31,0.722,0.066,5,5,0,6,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
0,1,0,3,2,2,2,29081.0,1396,36,0.714,0.048,3,2,0,6,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0,1,3,2,5,2,0,22352.0,2517,24,1.182,0.113,1,6,0,9,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,1,2,2,6,3,3,11656.0,1677,32,0.882,0.144,7,3,0,8,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,5,3,5,3,2,6748.0,1467,42,0.68,0.217,6,3,3,6,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
0,1,1,1,6,2,3,9095.0,1587,26,1.364,0.174,6,3,0,9,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
0,1,1,2,3,6,0,11751.0,0,17,3.25,0.0,7,0,0,9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,3,3,5,1,3,8547.0,1666,33,2.0,0.195,6,3,0,9,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,2,1,5,2,2,2436.0,680,29,0.611,0.279,2,7,0,4,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1,4,3,5,1,2,4234.0,972,27,1.7,0.23,4,7,0,9,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0,1,4,2,6,2,3,30367.0,2362,27,0.929,0.078,3,5,0,8,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
0,1,3,1,4,4,1,13535.0,1291,21,1.625,0.095,1,1,0,9,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0,1,1,1,2,2,3,3193.0,2517,30,1.143,0.788,4,6,0,9,6,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
