iter	Passed	Remaining
0	6	6935
1	13	6735
2	19	6529
3	25	6467
4	32	6447
5	38	6379
6	44	6332
7	50	6252
8	55	6156
9	62	6146
10	67	6113
11	74	6117
12	80	6095
13	86	6063
14	92	6045
15	97	6025
16	103	6005
17	110	6050
18	116	6031
19	122	6012
20	128	5991
21	134	5991
22	141	5992
23	147	5983
24	153	5972
25	159	5963
26	165	5946
27	170	5930
28	176	5921
29	183	5920
30	189	5921
31	194	5882
32	203	5975
33	212	6032
34	218	6030
35	225	6032
36	231	6028
37	236	5990
38	242	5969
39	248	5958
40	254	5942
41	259	5927
42	265	5897
43	270	5870
44	275	5851
45	281	5829
46	286	5812
47	292	5799
48	297	5777
49	302	5748
50	308	5733
51	313	5709
52	319	5700
53	324	5690
54	330	5670
55	335	5655
56	340	5626
57	345	5619
58	350	5593
59	356	5590
60	362	5585
61	368	5572
62	374	5562
63	379	5551
64	385	5539
65	390	5526
66	395	5513
67	401	5503
68	407	5497
69	412	5485
70	418	5478
71	424	5468
72	429	5456
73	435	5449
74	441	5439
75	446	5433
76	452	5422
77	457	5409
78	463	5398
79	468	5391
80	474	5382
81	480	5373
82	485	5362
83	490	5353
84	496	5348
85	502	5343
86	508	5336
87	513	5326
88	519	5313
89	524	5305
90	529	5293
91	535	5283
92	541	5279
93	547	5275
94	553	5270
95	559	5268
96	565	5260
97	570	5253
98	576	5245
99	581	5235
100	587	5228
101	592	5219
102	598	5209
103	603	5201
104	608	5189
105	614	5181
106	619	5172
107	625	5163
108	630	5154
109	636	5149
110	642	5145
111	648	5139
112	653	5130
113	659	5122
114	664	5114
115	670	5106
116	676	5102
117	682	5100
118	688	5096
119	694	5090
120	699	5081
121	705	5074
122	711	5069
123	716	5062
124	722	5056
125	728	5053
126	734	5047
127	739	5041
128	745	5033
129	751	5025
130	756	5017
131	761	5009
132	767	5001
133	772	4993
134	777	4984
135	783	4975
136	788	4967
137	793	4959
138	799	4951
139	804	4943
140	810	4934
141	815	4927
142	820	4918
143	825	4909
144	831	4904
145	837	4896
146	842	4888
147	848	4883
148	853	4875
149	859	4869
150	865	4863
151	870	4857
152	876	4849
153	881	4842
154	887	4838
155	893	4835
156	899	4830
157	905	4824
158	911	4819
159	917	4814
160	922	4807
161	928	4801
162	933	4795
163	939	4790
164	945	4783
165	950	4774
166	956	4770
167	962	4764
168	967	4758
169	973	4750
170	978	4744
171	984	4738
172	989	4730
173	995	4723
174	1000	4716
175	1006	4710
176	1011	4703
177	1017	4697
178	1023	4692
179	1028	4686
180	1034	4679
181	1040	4674
182	1046	4670
183	1052	4668
184	1058	4661
185	1063	4655
186	1069	4649
187	1074	4641
188	1080	4636
189	1086	4631
190	1092	4626
191	1097	4619
192	1103	4613
193	1108	4607
194	1114	4600
195	1119	4594
196	1125	4587
197	1131	4581
198	1136	4575
199	1142	4568
200	1147	4562
201	1153	4556
202	1159	4552
203	1164	4542
204	1169	4536
205	1175	4530
206	1180	4524
207	1186	4517
208	1191	4510
209	1197	4505
210	1203	4499
211	1208	4491
212	1213	4484
213	1219	4477
214	1224	4471
215	1230	4467
216	1236	4461
217	1242	4456
218	1247	4450
219	1253	4445
220	1259	4439
221	1265	4433
222	1270	4428
223	1276	4422
224	1282	4415
225	1287	4408
226	1292	4402
227	1298	4396
228	1303	4389
229	1309	4383
230	1315	4378
231	1321	4373
232	1327	4368
233	1333	4363
234	1338	4356
235	1343	4349
236	1349	4343
237	1355	4338
238	1360	4332
239	1366	4327
240	1372	4322
241	1378	4316
242	1384	4311
243	1389	4305
244	1395	4299
245	1400	4292
246	1406	4287
247	1412	4281
248	1418	4277
249	1423	4271
250	1429	4264
251	1434	4258
252	1440	4252
253	1445	4246
254	1451	4241
255	1457	4235
256	1462	4228
257	1467	4221
258	1473	4215
259	1478	4209
260	1484	4202
261	1489	4196
262	1495	4190
263	1500	4184
264	1506	4178
265	1512	4172
266	1518	4167
267	1523	4161
268	1529	4155
269	1534	4149
270	1540	4143
271	1546	4137
272	1551	4131
273	1556	4125
274	1562	4118
275	1568	4113
276	1574	4108
277	1580	4103
278	1586	4100
279	1592	4095
280	1598	4090
281	1604	4086
282	1610	4080
283	1615	4072
284	1621	4067
285	1626	4061
286	1632	4056
287	1639	4052
288	1645	4048
289	1651	4042
290	1656	4035
291	1662	4031
292	1669	4027
293	1675	4023
294	1681	4019
295	1688	4015
296	1694	4011
297	1701	4007
298	1707	4003
299	1713	3998
300	1720	3994
301	1726	3990
302	1732	3986
303	1739	3981
304	1745	3976
305	1750	3970
306	1756	3966
307	1763	3961
308	1769	3956
309	1775	3950
310	1781	3946
311	1787	3942
312	1793	3936
313	1799	3932
314	1805	3927
315	1812	3922
316	1818	3917
317	1824	3913
318	1829	3906
319	1835	3901
320	1841	3895
321	1847	3890
322	1853	3885
323	1860	3880
324	1865	3874
325	1871	3868
326	1877	3863
327	1883	3858
328	1889	3853
329	1895	3847
330	1901	3842
331	1907	3837
332	1913	3832
333	1919	3826
334	1924	3820
335	1930	3815
336	1936	3809
337	1941	3802
338	1947	3797
339	1953	3792
340	1959	3786
341	1965	3780
342	1970	3774
343	1975	3768
344	1981	3762
345	1987	3756
346	1993	3751
347	1999	3746
348	2005	3740
349	2010	3734
350	2016	3727
351	2021	3721
352	2027	3715
353	2032	3708
354	2038	3703
355	2043	3696
356	2049	3690
357	2054	3684
358	2060	3678
359	2065	3672
360	2071	3666
361	2077	3661
362	2082	3654
363	2088	3648
364	2093	3642
365	2099	3636
366	2105	3630
367	2111	3625
368	2115	3618
369	2121	3612
370	2127	3607
371	2133	3601
372	2139	3595
373	2145	3590
374	2150	3584
375	2155	3577
376	2161	3572
377	2167	3566
378	2172	3559
379	2178	3554
380	2183	3547
381	2189	3542
382	2195	3536
383	2200	3530
384	2206	3524
385	2211	3518
386	2217	3512
387	2222	3506
388	2228	3500
389	2234	3494
390	2239	3488
391	2245	3482
392	2250	3475
393	2256	3470
394	2261	3464
395	2267	3457
396	2272	3452
397	2278	3446
398	2284	3440
399	2289	3434
400	2295	3428
401	2301	3422
402	2306	3417
403	2313	3412
404	2318	3406
405	2324	3401
406	2330	3395
407	2335	3389
408	2341	3382
409	2347	3377
410	2352	3371
411	2358	3366
412	2364	3360
413	2370	3354
414	2375	3348
415	2381	3342
416	2386	3336
417	2392	3331
418	2398	3325
419	2403	3318
420	2408	3312
421	2414	3306
422	2419	3300
423	2425	3294
424	2430	3288
425	2436	3282
426	2441	3276
427	2447	3270
428	2452	3264
429	2458	3258
430	2463	3252
431	2468	3245
432	2474	3239
433	2479	3234
434	2485	3228
435	2491	3222
436	2496	3216
437	2503	3211
438	2508	3206
439	2514	3200
440	2520	3194
441	2525	3188
442	2531	3182
443	2536	3176
444	2542	3171
445	2549	3166
446	2555	3161
447	2561	3155
448	2566	3149
449	2571	3143
450	2577	3137
451	2582	3131
452	2588	3125
453	2593	3119
454	2599	3113
455	2604	3107
456	2610	3101
457	2616	3096
458	2622	3090
459	2627	3084
460	2633	3078
461	2638	3072
462	2643	3066
463	2649	3060
464	2654	3054
465	2660	3048
466	2665	3042
467	2670	3035
468	2676	3030
469	2682	3025
470	2687	3018
471	2693	3012
472	2699	3007
473	2704	3001
474	2709	2995
475	2714	2988
476	2719	2982
477	2725	2976
478	2731	2971
479	2737	2965
480	2742	2959
481	2747	2952
482	2753	2946
483	2758	2940
484	2763	2934
485	2769	2928
486	2774	2922
487	2780	2917
488	2785	2911
489	2791	2905
490	2796	2899
491	2802	2893
492	2807	2887
493	2812	2881
494	2818	2875
495	2824	2869
496	2830	2864
497	2835	2858
498	2841	2852
499	2847	2847
500	2852	2841
501	2858	2835
502	2864	2830
503	2870	2824
504	2875	2818
505	2881	2812
506	2886	2806
507	2892	2800
508	2897	2795
509	2904	2790
510	2910	2784
511	2930	2793
512	2936	2787
513	2942	2782
514	2948	2777
515	2954	2771
516	2960	2766
517	2966	2760
518	2972	2754
519	2978	2749
520	2984	2743
521	2990	2738
522	2996	2732
523	3002	2727
524	3008	2721
525	3014	2716
526	3020	2711
527	3026	2705
528	3032	2700
529	3038	2694
530	3045	2689
531	3051	2684
532	3057	2678
533	3063	2673
534	3070	2668
535	3076	2662
536	3082	2657
537	3088	2652
538	3094	2646
539	3100	2641
540	3107	2636
541	3113	2630
542	3118	2624
543	3125	2619
544	3131	2614
545	3137	2608
546	3144	2603
